Student ID,Gender,Year,Skills,Backlogs,Projects Completed,Internships,Companies Placed,Company Type,Domain,Salary,Higher Studies,Higher Studies Field,Location,Experience_Level,Academic_Risk,Skill_Count,Placement_Readiness,Job_Score,Higher_Studies_Score,Skill_Improvement_Score,Wait_Improve_Score,Recommended_Options
1,Male,2023,"Digital Marketing, ML/AI, Blockchain",1,6,2,TCS,Established,Automotive,2271743,No,Not Applicable,Ahmedabad,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
2,Male,2023,"Blockchain, Python, Networking",0,10,2,Meta,Established,E-commerce,1386191,No,Not Applicable,Delhi,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
3,Male,2023,C++,1,5,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Kolkata,Medium,Low,1,Low,2,2,2,2,"['Immediate Job', 'Higher Studies']"
4,Male,2023,"DevOps, Networking",1,8,4,Zomato,Startup,FinTech,1011924,No,Not Applicable,Chennai,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
5,Female,2023,"Web Dev (Full Stack), ML/AI, DevOps",0,8,3,Tata Motors,Established,IT Services,1017889,No,Not Applicable,Bangalore,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
6,Female,2022,"Java, Embedded Systems",0,6,3,Google,Established,Automotive,1733538,Yes,MS (USA/EU),Ahmedabad,High,Low,2,Medium,2,4,4,0,"['Higher Studies', 'Skill Improvement']"
7,Male,2025,Web Dev (Full Stack),0,10,4,Google,Established,Consulting,831038,No,Not Applicable,Ahmedabad,High,Low,1,Low,2,2,2,2,"['Immediate Job', 'Higher Studies']"
8,Female,2022,"Java, DevOps, Digital Marketing",2,10,3,Google,Established,FinTech,984788,No,Not Applicable,Ahmedabad,High,Medium,3,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
9,Male,2023,"Data Science, Web Dev (Full Stack), Blockchain, Networking",2,7,4,Cognizant,Established,Consulting,1195199,No,Not Applicable,Bangalore,High,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
10,Female,2025,"Networking, Data Science, C++",1,8,4,TCS,Established,Automotive,1986634,No,Not Applicable,Pune,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
11,Female,2024,"Blockchain, Data Science, Cloud (AWS/Azure/GCP), Python",1,6,3,L&T Technology Services,Established,Logistics,1042873,Yes,Data Science,Bangalore,High,Low,4,High,4,4,1,0,"['Immediate Job', 'Higher Studies']"
12,Male,2023,"Data Science, C++, Cybersecurity",1,8,1,Capgemini,Established,Manufacturing,354179,No,Not Applicable,Kolkata,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
13,Female,2023,"Networking, UI/UX Design, Embedded Systems",1,6,3,Capgemini,Established,Healthcare,1928524,Yes,Cybersecurity,Mumbai,High,Low,3,High,4,4,1,0,"['Immediate Job', 'Higher Studies']"
14,Male,2023,"Embedded Systems, Python, DevOps",0,1,3,Capgemini,Established,EdTech,1037169,No,Not Applicable,Hyderabad,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
15,Male,2025,"Blockchain, UI/UX Design, Cybersecurity",1,1,1,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Bangalore,Medium,Low,3,Medium,2,4,3,0,"['Higher Studies', 'Skill Improvement']"
16,Male,2022,"Java, Data Science, DevOps",1,3,0,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Bangalore,Medium,Low,3,Medium,2,4,3,0,"['Higher Studies', 'Skill Improvement']"
17,Male,2024,"Data Science, Blockchain, Cybersecurity, Cloud (AWS/Azure/GCP)",2,10,3,Dream11,Startup,Manufacturing,701222,Yes,MS (USA/EU),Hyderabad,High,Medium,4,Medium,2,3,3,0,"['Higher Studies', 'Skill Improvement']"
18,Male,2025,"Python, Data Science, ML/AI",2,10,3,L&T Technology Services,Established,Manufacturing,2175567,No,Not Applicable,Delhi,High,Medium,3,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
19,Female,2024,"Cloud (AWS/Azure/GCP), C++, Data Science",0,3,4,Wipro,Established,Automotive,1573183,No,Not Applicable,Pune,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
20,Female,2024,"Blockchain, Cybersecurity, Web Dev (Full Stack)",1,9,3,Dream11,Startup,EdTech,712675,No,Not Applicable,Mumbai,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
21,Male,2023,"C++, Embedded Systems, Cybersecurity, DevOps, Digital Marketing",1,9,4,Zomato,Startup,Consulting,318410,No,Not Applicable,Delhi,High,Low,5,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
22,Female,2024,"Web Dev (Full Stack), Embedded Systems, Digital Marketing",2,10,4,Flipkart,Established,EdTech,1113669,No,Not Applicable,Delhi,High,Medium,3,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
23,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing",0,6,3,Capgemini,Established,IT Services,1804258,No,Not Applicable,Chennai,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
24,Female,2025,Digital Marketing,2,10,4,Oracle,Established,FinTech,1291302,No,Not Applicable,Delhi,High,Medium,1,Low,2,1,2,2,"['Immediate Job', 'Skill Improvement']"
25,Female,2023,"ML/AI, Embedded Systems, Java, C++",1,8,2,Swiggy,Startup,Healthcare,938140,No,Not Applicable,Ahmedabad,High,Low,4,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
26,Female,2023,"Cybersecurity, Digital Marketing, DevOps",0,8,3,Amazon,Established,Logistics,1777624,No,Not Applicable,Kolkata,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
27,Female,2025,"ML/AI, Web Dev (Full Stack), Cybersecurity",0,10,3,Adobe,Established,Manufacturing,582865,No,Not Applicable,Ahmedabad,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
28,Female,2023,"C++, ML/AI, Digital Marketing",2,6,1,Oracle,Established,E-commerce,725110,No,Not Applicable,Jaipur,Medium,Medium,3,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
29,Male,2025,"ML/AI, Cloud (AWS/Azure/GCP), Python, Java, Cybersecurity",0,3,3,Byju's,Startup,Automotive,438293,No,Not Applicable,Pune,Medium,Low,5,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
30,Male,2024,"Cloud (AWS/Azure/GCP), UI/UX Design, Cybersecurity",0,10,2,Adobe,Established,Logistics,1380584,Yes,Data Science,Hyderabad,High,Low,3,High,4,4,1,0,"['Immediate Job', 'Higher Studies']"
31,Male,2024,"Embedded Systems, Python, DevOps, Blockchain",2,4,4,Microsoft,Established,E-commerce,1440111,No,Not Applicable,Bangalore,Medium,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
32,Male,2024,"Web Dev (Full Stack), Cybersecurity",1,8,4,Tata Motors,Established,Logistics,2968438,Yes,MBA,Pune,High,Low,2,Medium,2,4,4,0,"['Higher Studies', 'Skill Improvement']"
33,Male,2022,"ML/AI, Java, Embedded Systems, Networking",1,9,2,Wipro,Established,IT Services,1608393,No,Not Applicable,Mumbai,High,Low,4,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
34,Male,2024,"Data Science, Cloud (AWS/Azure/GCP)",2,5,0,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Chennai,Medium,Medium,2,Medium,2,3,4,0,"['Skill Improvement', 'Higher Studies']"
35,Female,2023,"Digital Marketing, Java, Data Science, Embedded Systems, Blockchain",0,9,1,Meta,Established,Manufacturing,724112,No,Not Applicable,Ahmedabad,Medium,Low,5,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
36,Female,2023,Blockchain,0,2,2,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Mumbai,Medium,Low,1,Low,2,4,2,2,"['Higher Studies', 'Immediate Job']"
37,Female,2024,"UI/UX Design, Python",0,6,1,Infosys,Established,Healthcare,1279537,No,Not Applicable,Chennai,Medium,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
38,Female,2025,"Java, Networking, Web Dev (Full Stack), UI/UX Design, C++",1,3,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Kolkata,Medium,Low,5,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
39,Female,2025,"Embedded Systems, DevOps, Cloud (AWS/Azure/GCP), Digital Marketing",2,8,4,Wipro,Established,Consulting,367971,No,Not Applicable,Jaipur,High,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
40,Male,2023,Embedded Systems,2,2,2,Capgemini,Established,Healthcare,759906,No,Not Applicable,Jaipur,Medium,Medium,1,Low,2,1,2,2,"['Immediate Job', 'Skill Improvement']"
41,Female,2024,"Data Science, Cloud (AWS/Azure/GCP)",1,1,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Hyderabad,Medium,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
42,Female,2024,"UI/UX Design, Web Dev (Full Stack), ML/AI, Data Science",1,8,3,Paytm,Startup,EdTech,755034,No,Not Applicable,Pune,High,Low,4,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
43,Female,2024,"C++, Java, Digital Marketing",0,5,4,Microsoft,Established,Healthcare,2004734,No,Not Applicable,Bangalore,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
44,Male,2023,"DevOps, Java, Networking",0,2,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Delhi,Low,Low,3,Medium,1,3,3,0,"['Higher Studies', 'Skill Improvement']"
45,Female,2025,"C++, Python",1,7,2,Google,Established,Healthcare,572787,No,Not Applicable,Delhi,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
46,Male,2025,"Embedded Systems, Java",2,1,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Delhi,Medium,Medium,2,Medium,2,3,4,0,"['Skill Improvement', 'Higher Studies']"
47,Female,2025,"Embedded Systems, Digital Marketing, Networking, UI/UX Design",2,3,3,Tech Mahindra,Established,FinTech,1150457,No,Not Applicable,Pune,Medium,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
48,Female,2022,"Blockchain, Data Science, ML/AI",0,6,1,Byju's,Startup,Logistics,751335,No,Not Applicable,Bangalore,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
49,Female,2023,"Digital Marketing, DevOps, C++",1,10,3,Cisco,Established,Logistics,2590086,No,Not Applicable,Hyderabad,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
50,Male,2023,"ML/AI, Web Dev (Full Stack)",2,5,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Chennai,Medium,Medium,2,Medium,2,1,4,0,"['Skill Improvement', 'Immediate Job']"
51,Female,2023,"Web Dev (Full Stack), Networking, Data Science",0,10,4,Infosys,Established,IT Services,2620542,Yes,MBA,Pune,High,Low,3,High,4,4,1,0,"['Immediate Job', 'Higher Studies']"
52,Male,2023,"Java, Cybersecurity, Web Dev (Full Stack)",1,4,3,TCS,Established,Consulting,624923,No,Not Applicable,Pune,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
53,Male,2023,"Cloud (AWS/Azure/GCP), Blockchain, Cybersecurity, Python",2,9,1,Jio Platforms,Established,Logistics,752821,No,Not Applicable,Ahmedabad,Medium,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
54,Female,2024,"DevOps, Digital Marketing, Cloud (AWS/Azure/GCP)",0,1,0,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Jaipur,Low,Low,3,Medium,1,3,3,0,"['Higher Studies', 'Skill Improvement']"
55,Male,2022,"Python, C++, Blockchain",1,4,0,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Hyderabad,Medium,Low,3,Medium,2,4,3,0,"['Higher Studies', 'Skill Improvement']"
56,Male,2025,"Digital Marketing, Networking, Python, ML/AI, Cybersecurity",1,9,2,Paytm,Startup,Logistics,523897,No,Not Applicable,Delhi,High,Low,5,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
57,Female,2023,"Embedded Systems, DevOps, Data Science",2,6,3,Dream11,Startup,IT Services,437509,No,Not Applicable,Jaipur,High,Medium,3,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
58,Female,2025,"Cybersecurity, Java",0,7,4,Tata Motors,Established,Consulting,1957231,No,Not Applicable,Kolkata,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
59,Female,2023,"ML/AI, Cloud (AWS/Azure/GCP), Cybersecurity",3,5,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Kolkata,Medium,Medium,3,Medium,2,3,3,0,"['Higher Studies', 'Skill Improvement']"
60,Male,2025,"Data Science, DevOps",1,5,3,Flipkart,Established,E-commerce,1041866,No,Not Applicable,Chennai,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
61,Female,2024,"Cloud (AWS/Azure/GCP), Java",0,6,1,Tata Motors,Established,E-commerce,806734,No,Not Applicable,Kolkata,Medium,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
62,Male,2023,"Cloud (AWS/Azure/GCP), Cybersecurity, Java, UI/UX Design",3,8,4,Flipkart,Established,EdTech,1213067,Yes,AI/ML,Bangalore,High,Medium,4,Medium,2,3,3,0,"['Higher Studies', 'Skill Improvement']"
63,Male,2022,"Embedded Systems, DevOps",1,1,2,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Mumbai,Medium,Low,2,Medium,2,4,4,0,"['Higher Studies', 'Skill Improvement']"
64,Female,2022,"DevOps, Digital Marketing, Cybersecurity",2,8,1,Amazon,Established,Logistics,1489439,Yes,AI/ML,Kolkata,Medium,Medium,3,Medium,2,3,3,0,"['Higher Studies', 'Skill Improvement']"
65,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing, UI/UX Design, ML/AI",2,3,4,Microsoft,Established,E-commerce,1476901,No,Not Applicable,Bangalore,Medium,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
66,Male,2023,"Networking, Blockchain, Cloud (AWS/Azure/GCP)",2,7,2,Cognizant,Established,Consulting,2216160,No,Not Applicable,Jaipur,High,Medium,3,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
67,Female,2024,"Cloud (AWS/Azure/GCP), Networking",1,7,1,Oracle,Established,Healthcare,2192661,Yes,Data Science,Bangalore,Medium,Low,2,Medium,2,4,4,0,"['Higher Studies', 'Skill Improvement']"
68,Female,2025,"Python, C++, Networking, Cybersecurity, Cloud (AWS/Azure/GCP)",2,6,2,Google,Established,FinTech,2668846,No,Not Applicable,Bangalore,High,Medium,5,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
69,Male,2025,"DevOps, Python, Embedded Systems",2,7,2,Amazon,Established,Manufacturing,1356839,No,Not Applicable,Pune,High,Medium,3,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
70,Male,2022,"Embedded Systems, Cybersecurity, Cloud (AWS/Azure/GCP), ML/AI",2,5,3,Cognizant,Established,Automotive,1306807,No,Not Applicable,Ahmedabad,High,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
71,Male,2022,C++,2,10,4,Google,Established,Logistics,497689,No,Not Applicable,Chennai,High,Medium,1,Low,2,1,2,2,"['Immediate Job', 'Skill Improvement']"
72,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, Cybersecurity",0,5,1,Tech Mahindra,Established,FinTech,1780913,No,Not Applicable,Kolkata,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
73,Female,2024,"Java, Data Science",1,2,3,Swiggy,Startup,Automotive,1207104,No,Not Applicable,Delhi,Medium,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
74,Female,2023,"Cybersecurity, ML/AI",0,10,4,Wipro,Established,Consulting,843114,No,Not Applicable,Pune,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
75,Female,2025,"Data Science, Cloud (AWS/Azure/GCP), Java, Embedded Systems",2,8,2,L&T Technology Services,Established,FinTech,1318890,No,Not Applicable,Pune,High,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
76,Male,2022,"Java, Python",1,1,2,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Delhi,Medium,Low,2,Medium,2,4,4,0,"['Higher Studies', 'Skill Improvement']"
77,Male,2025,"C++, DevOps, Blockchain",0,4,2,Tata Motors,Established,Consulting,789769,No,Not Applicable,Mumbai,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
78,Male,2023,"ML/AI, DevOps, Cybersecurity, Networking",0,2,3,Tata Motors,Established,EdTech,2249068,No,Not Applicable,Jaipur,Medium,Low,4,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
79,Male,2024,"Networking, Blockchain, Digital Marketing",1,6,3,Jio Platforms,Established,EdTech,1678422,No,Not Applicable,Delhi,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
80,Male,2022,"Networking, Cloud (AWS/Azure/GCP)",2,7,1,Capgemini,Established,EdTech,1626921,No,Not Applicable,Chennai,Medium,Medium,2,Medium,2,1,4,0,"['Skill Improvement', 'Immediate Job']"
81,Female,2024,"UI/UX Design, Cloud (AWS/Azure/GCP), Python",0,5,1,Zomato,Startup,Manufacturing,1265483,No,Not Applicable,Ahmedabad,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
82,Male,2025,"Networking, Embedded Systems, Web Dev (Full Stack), UI/UX Design",3,6,2,Cisco,Established,FinTech,1573452,No,Not Applicable,Hyderabad,High,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
83,Male,2022,"Data Science, Digital Marketing, Blockchain, UI/UX Design, Java",2,2,4,Oracle,Established,E-commerce,1820327,Yes,PhD,Hyderabad,Medium,Medium,5,Medium,2,3,3,0,"['Higher Studies', 'Skill Improvement']"
84,Female,2022,"Java, DevOps, UI/UX Design, Embedded Systems",2,7,4,Cognizant,Established,Healthcare,659348,No,Not Applicable,Kolkata,High,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
85,Female,2022,"Cloud (AWS/Azure/GCP), Web Dev (Full Stack), C++",0,6,3,HCLTech,Established,IT Services,1343129,No,Not Applicable,Bangalore,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
86,Female,2023,DevOps,1,8,3,Swiggy,Startup,FinTech,603702,No,Not Applicable,Bangalore,High,Low,1,Low,2,2,2,2,"['Immediate Job', 'Higher Studies']"
87,Female,2022,"Web Dev (Full Stack), Digital Marketing, C++, Cloud (AWS/Azure/GCP)",2,6,3,HCLTech,Established,E-commerce,2188555,Yes,MS (USA/EU),Jaipur,High,Medium,4,Medium,2,3,3,0,"['Higher Studies', 'Skill Improvement']"
88,Male,2023,"Networking, DevOps",1,8,4,Infosys,Established,Healthcare,1881013,Yes,Cybersecurity,Kolkata,High,Low,2,Medium,2,4,4,0,"['Higher Studies', 'Skill Improvement']"
89,Female,2024,"DevOps, Embedded Systems, Data Science, Python",0,9,2,Cisco,Established,Consulting,1974476,No,Not Applicable,Mumbai,High,Low,4,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
90,Female,2024,"Web Dev (Full Stack), DevOps",2,4,1,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Mumbai,Medium,Medium,2,Medium,2,3,4,0,"['Skill Improvement', 'Higher Studies']"
91,Female,2022,"Web Dev (Full Stack), Python",1,7,4,L&T Technology Services,Established,Manufacturing,516985,No,Not Applicable,Mumbai,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
92,Female,2022,"Digital Marketing, Java, UI/UX Design, ML/AI, Embedded Systems",0,5,0,Capgemini,Established,Automotive,1295503,No,Not Applicable,Kolkata,Medium,Low,5,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
93,Male,2022,"DevOps, UI/UX Design",0,7,4,Oracle,Established,EdTech,1686143,No,Not Applicable,Kolkata,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
94,Male,2022,"UI/UX Design, Embedded Systems, Data Science",1,5,3,Tata Motors,Established,Consulting,950700,No,Not Applicable,Delhi,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
95,Female,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",1,9,4,Wipro,Established,Automotive,817154,No,Not Applicable,Hyderabad,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
96,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, UI/UX Design",0,10,4,Amazon,Established,Logistics,1218837,No,Not Applicable,Kolkata,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
97,Male,2024,"Java, Web Dev (Full Stack)",2,8,1,Tech Mahindra,Established,Manufacturing,1219839,No,Not Applicable,Delhi,Medium,Medium,2,Medium,2,1,4,0,"['Skill Improvement', 'Immediate Job']"
98,Male,2023,"C++, Cloud (AWS/Azure/GCP), Java, Web Dev (Full Stack)",0,3,1,HCLTech,Established,FinTech,1798269,No,Not Applicable,Chennai,Medium,Low,4,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
99,Female,2024,"Digital Marketing, UI/UX Design",0,8,3,Dream11,Startup,E-commerce,827804,No,Not Applicable,Ahmedabad,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
100,Female,2025,"UI/UX Design, Networking, Cybersecurity",2,2,0,Not Placed,Not Placed,Not Placed,0,Yes,M.Tech,Hyderabad,Low,Medium,3,Medium,1,2,3,0,"['Skill Improvement', 'Higher Studies']"
101,Male,2023,"UI/UX Design, Blockchain, Python, Data Science",0,3,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Ahmedabad,Medium,Low,4,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
102,Female,2022,"Digital Marketing, C++",0,7,4,Tata Motors,Established,Automotive,929377,No,Not Applicable,Hyderabad,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
103,Male,2025,Digital Marketing,2,3,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Jaipur,Medium,Medium,1,Low,2,1,2,2,"['Immediate Job', 'Skill Improvement']"
104,Male,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Embedded Systems",0,7,4,Capgemini,Established,FinTech,1168262,No,Not Applicable,Jaipur,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
105,Male,2024,"Blockchain, Networking, Cloud (AWS/Azure/GCP), Java",1,4,2,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Mumbai,Medium,Low,4,Medium,2,4,3,0,"['Higher Studies', 'Skill Improvement']"
106,Female,2024,"UI/UX Design, Python, Data Science, Cybersecurity",2,4,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Ahmedabad,Medium,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
107,Female,2023,"Java, DevOps, Embedded Systems, UI/UX Design, Web Dev (Full Stack)",1,9,4,Capgemini,Established,IT Services,1217891,No,Not Applicable,Mumbai,High,Low,5,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
108,Male,2025,"Blockchain, Data Science, Cybersecurity, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",2,9,4,Google,Established,Logistics,1618082,No,Not Applicable,Chennai,High,Medium,5,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
109,Female,2022,"Cloud (AWS/Azure/GCP), Networking",2,10,3,Tata Motors,Established,EdTech,1304859,No,Not Applicable,Mumbai,High,Medium,2,Medium,2,1,4,0,"['Skill Improvement', 'Immediate Job']"
110,Female,2025,"Digital Marketing, C++, ML/AI, UI/UX Design",2,5,3,HCLTech,Established,Logistics,2836184,No,Not Applicable,Pune,High,Medium,4,Medium,2,1,3,0,"['Skill Improvement', 'Immediate Job']"
