Student ID,Gender,Year,Skills,Backlogs,Projects Completed,Internships,Companies Placed,Company Type,Domain,Salary,Higher Studies,Higher Studies Field,Location,Experience_Level,Academic_Risk,Skill_Count,Placement_Readiness
1,Male,2023,"Digital Marketing, ML/AI, Blockchain",1,6,2,TCS,Established,Automotive,2271743,No,Not Applicable,Ahmedabad,High,Low,3,High
2,Male,2023,"Blockchain, Python, Networking",0,10,2,Meta,Established,E-commerce,1386191,No,Not Applicable,Delhi,High,Low,3,High
3,Male,2023,C++,1,5,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Kolkata,Medium,Low,1,Low
4,Male,2023,"DevOps, Networking",1,8,4,Zomato,Startup,FinTech,1011924,No,Not Applicable,Chennai,High,Low,2,Medium
5,Female,2023,"Web Dev (Full Stack), ML/AI, DevOps",0,8,3,Tata Motors,Established,IT Services,1017889,No,Not Applicable,Bangalore,High,Low,3,High
6,Female,2022,"Java, Embedded Systems",0,6,3,Google,Established,Automotive,1733538,Yes,MS (USA/EU),Ahmedabad,High,Low,2,Medium
7,Male,2025,Web Dev (Full Stack),0,10,4,Google,Established,Consulting,831038,No,Not Applicable,Ahmedabad,High,Low,1,Low
8,Female,2022,"Java, DevOps, Digital Marketing",2,10,3,Google,Established,FinTech,984788,No,Not Applicable,Ahmedabad,High,Medium,3,Medium
9,Male,2023,"Data Science, Web Dev (Full Stack), Blockchain, Networking",2,7,4,Cognizant,Established,Consulting,1195199,No,Not Applicable,Bangalore,High,Medium,4,Medium
10,Female,2025,"Networking, Data Science, C++",1,8,4,TCS,Established,Automotive,1986634,No,Not Applicable,Pune,High,Low,3,High
11,Female,2024,"Blockchain, Data Science, Cloud (AWS/Azure/GCP), Python",1,6,3,L&T Technology Services,Established,Logistics,1042873,Yes,Data Science,Bangalore,High,Low,4,High
12,Male,2023,"Data Science, C++, Cybersecurity",1,8,1,Capgemini,Established,Manufacturing,354179,No,Not Applicable,Kolkata,Medium,Low,3,Medium
13,Female,2023,"Networking, UI/UX Design, Embedded Systems",1,6,3,Capgemini,Established,Healthcare,1928524,Yes,Cybersecurity,Mumbai,High,Low,3,High
14,Male,2023,"Embedded Systems, Python, DevOps",0,1,3,Capgemini,Established,EdTech,1037169,No,Not Applicable,Hyderabad,Medium,Low,3,Medium
15,Male,2025,"Blockchain, UI/UX Design, Cybersecurity",1,1,1,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Bangalore,Medium,Low,3,Medium
16,Male,2022,"Java, Data Science, DevOps",1,3,0,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Bangalore,Medium,Low,3,Medium
17,Male,2024,"Data Science, Blockchain, Cybersecurity, Cloud (AWS/Azure/GCP)",2,10,3,Dream11,Startup,Manufacturing,701222,Yes,MS (USA/EU),Hyderabad,High,Medium,4,Medium
18,Male,2025,"Python, Data Science, ML/AI",2,10,3,L&T Technology Services,Established,Manufacturing,2175567,No,Not Applicable,Delhi,High,Medium,3,Medium
19,Female,2024,"Cloud (AWS/Azure/GCP), C++, Data Science",0,3,4,Wipro,Established,Automotive,1573183,No,Not Applicable,Pune,Medium,Low,3,Medium
20,Female,2024,"Blockchain, Cybersecurity, Web Dev (Full Stack)",1,9,3,Dream11,Startup,EdTech,712675,No,Not Applicable,Mumbai,High,Low,3,High
21,Male,2023,"C++, Embedded Systems, Cybersecurity, DevOps, Digital Marketing",1,9,4,Zomato,Startup,Consulting,318410,No,Not Applicable,Delhi,High,Low,5,High
22,Female,2024,"Web Dev (Full Stack), Embedded Systems, Digital Marketing",2,10,4,Flipkart,Established,EdTech,1113669,No,Not Applicable,Delhi,High,Medium,3,Medium
23,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing",0,6,3,Capgemini,Established,IT Services,1804258,No,Not Applicable,Chennai,High,Low,2,Medium
24,Female,2025,Digital Marketing,2,10,4,Oracle,Established,FinTech,1291302,No,Not Applicable,Delhi,High,Medium,1,Low
25,Female,2023,"ML/AI, Embedded Systems, Java, C++",1,8,2,Swiggy,Startup,Healthcare,938140,No,Not Applicable,Ahmedabad,High,Low,4,High
26,Female,2023,"Cybersecurity, Digital Marketing, DevOps",0,8,3,Amazon,Established,Logistics,1777624,No,Not Applicable,Kolkata,High,Low,3,High
27,Female,2025,"ML/AI, Web Dev (Full Stack), Cybersecurity",0,10,3,Adobe,Established,Manufacturing,582865,No,Not Applicable,Ahmedabad,High,Low,3,High
28,Female,2023,"C++, ML/AI, Digital Marketing",2,6,1,Oracle,Established,E-commerce,725110,No,Not Applicable,Jaipur,Medium,Medium,3,Medium
29,Male,2025,"ML/AI, Cloud (AWS/Azure/GCP), Python, Java, Cybersecurity",0,3,3,Byju's,Startup,Automotive,438293,No,Not Applicable,Pune,Medium,Low,5,Medium
30,Male,2024,"Cloud (AWS/Azure/GCP), UI/UX Design, Cybersecurity",0,10,2,Adobe,Established,Logistics,1380584,Yes,Data Science,Hyderabad,High,Low,3,High
31,Male,2024,"Embedded Systems, Python, DevOps, Blockchain",2,4,4,Microsoft,Established,E-commerce,1440111,No,Not Applicable,Bangalore,Medium,Medium,4,Medium
32,Male,2024,"Web Dev (Full Stack), Cybersecurity",1,8,4,Tata Motors,Established,Logistics,2968438,Yes,MBA,Pune,High,Low,2,Medium
33,Male,2022,"ML/AI, Java, Embedded Systems, Networking",1,9,2,Wipro,Established,IT Services,1608393,No,Not Applicable,Mumbai,High,Low,4,High
34,Male,2024,"Data Science, Cloud (AWS/Azure/GCP)",2,5,0,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Chennai,Medium,Medium,2,Medium
35,Female,2023,"Digital Marketing, Java, Data Science, Embedded Systems, Blockchain",0,9,1,Meta,Established,Manufacturing,724112,No,Not Applicable,Ahmedabad,Medium,Low,5,Medium
36,Female,2023,Blockchain,0,2,2,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Mumbai,Medium,Low,1,Low
37,Female,2024,"UI/UX Design, Python",0,6,1,Infosys,Established,Healthcare,1279537,No,Not Applicable,Chennai,Medium,Low,2,Medium
38,Female,2025,"Java, Networking, Web Dev (Full Stack), UI/UX Design, C++",1,3,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Kolkata,Medium,Low,5,Medium
39,Female,2025,"Embedded Systems, DevOps, Cloud (AWS/Azure/GCP), Digital Marketing",2,8,4,Wipro,Established,Consulting,367971,No,Not Applicable,Jaipur,High,Medium,4,Medium
